School Name,Longitude,Latitude,year
Bendemeer Secondary School,103.860970284401,1.32461111307996,1970-01-01 00:00:00.000001916
Montfort Secondary School,103.888928372577,1.37396131656912,1970-01-01 00:00:00.000001916
Ahmad Ibrahim Primary School,103.832942401086,1.43315271543517,1970-01-01 00:00:00.000001995
Jiemin Primary School,103.830425490093,1.42768847665227,1970-01-01 00:00:00.000001992
Springfield Secondary School,103.930354460693,1.34957303471476,1970-01-01 00:00:00.000001916
Paya Lebar Methodist Girls' School (Secondary),103.885120050588,1.35096755912522,1970-01-01 00:00:00.000001916
Nanyang Polytechnic,103.849736066713,1.38111875111583,1970-01-01 00:00:00.000001992
Xinmin Primary School,103.883080767491,1.37139548941931,1970-01-01 00:00:00.000001945
Red Swastika School,103.934332314404,1.33324297847732,1970-01-01 00:00:00.000001879
Raffles Girls' School (Secondary),103.84313404727,1.34217479932295,1970-01-01 00:00:00.000001879
Rulang Primary School,103.718457955487,1.34673868889096,1970-01-01 00:00:00.000001930
Anglo-Chinese School (Junior),103.840950265464,1.30935041274966,1970-01-01 00:00:00.000001951
De La Salle School,103.743201812831,1.3947078296399,1970-01-01 00:00:00.000002000
Evergreen Secondary School,103.794137756171,1.44149131273737,1970-01-01 00:00:00.000002000
St. Stephen's School,103.917258129598,1.31878997295135,1970-01-01 00:00:00.000001986
Yuhua Secondary School,103.722687235839,1.34718626876968,1970-01-01 00:00:00.000002004
Singapore Sports School,103.789444793951,1.42641140556342,1970-01-01 00:00:00.000002004
New Town Primary School,103.80010216304,1.29964188181021,1970-01-01 00:00:00.000001993
Tanjong Katong Secondary School,103.897225196199,1.30873515955341,1970-01-01 00:00:00.000001993
Kheng Cheng School,103.847148501824,1.3373381935639,1970-01-01 00:00:00.000001929
St. Hilda's Secondary School,103.937608032148,1.34973922385379,1970-01-01 00:00:00.000001929
Montfort Junior School,103.889307782925,1.37382444075979,1970-01-01 00:00:00.000001980
Deyi Secondary School,103.852545772422,1.36599702567717,1970-01-01 00:00:00.000001842
St. Margaret's Secondary School,103.80995114006,1.32006821363359,1970-01-01 00:00:00.000001842
Jurong West Primary School,103.698803732244,1.33917519796104,1970-01-01 00:00:00.000001956
Dunman High School,103.88294155989,1.29996216014962,1970-01-01 00:00:00.000001956
White Sands Primary School,103.960861814678,1.36563610941695,1970-01-01 00:00:00.000001998
Republic Polytechnic,103.785458407498,1.44272787225591,1970-01-01 00:00:00.000002002
Woodgrove Primary School,103.79023031392,1.43273620725049,1970-01-01 00:00:00.000001999
Singapore Polytechnic,103.872257227602,1.32551588090962,1970-01-01 00:00:00.000001954
Teck Ghee Primary School,103.850957126982,1.36558782075966,1970-01-01 00:00:00.000001983
Ping Yi Secondary School,103.920700671987,1.3270167275387,1970-01-01 00:00:00.000001960
Anderson Secondary School,103.851554107068,1.37434001701177,1970-01-01 00:00:00.000001960
Peiying Primary School,103.830143209875,1.41741627551251,1970-01-01 00:00:00.000001919
Nanyang Technological University,103.687214243669,1.35154257621121,1970-01-01 00:00:00.000001956
Guangyang Primary School,103.849453239895,1.34569011530238,1970-01-01 00:00:00.000001983
Shuqun Primary School,103.721523713379,1.34765311431632,1970-01-01 00:00:00.000001946
Madrasah Al-Arabiah Al-Islamiah,103.85470673847,1.33737281169535,1970-01-01 00:00:00.000001952
Bartley Secondary School,103.882806211705,1.33995415587811,1970-01-01 00:00:00.000001952
ITE College West (Dover),103.955050784776,1.3343869142524,1970-01-01 00:00:00.000001998
Woodlands Ring Secondary School,103.800148469692,1.43648894729939,1970-01-01 00:00:00.000001947
Nan Chiau High School,103.890004423764,1.38879582498399,1970-01-01 00:00:00.000001999
Junyuan Secondary School,103.933886165824,1.35361315263537,1970-01-01 00:00:00.000001999
Pathlight School,103.85801093879,1.36363517582629,1970-01-01 00:00:00.000002004
Stamford American International School,103.869709388515,1.33697477269614,1970-01-01 00:00:00.000001999
Sembawang Secondary School,103.816843258118,1.44531502131387,1970-01-01 00:00:00.000001999
St. Margaret's Primary School,103.881624837373,1.32439150290682,1970-01-01 00:00:00.000001842
Radin Mas Primary School,103.824188270373,1.27495823622634,1970-01-01 00:00:00.000001926
Anchor Green Primary School,103.887165375933,1.39036998654612,1970-01-01 00:00:00.000002007
Punggol Primary School,103.905156371376,1.40514582647962,1970-01-01 00:00:00.000001995
Ngee Ann Primary School,103.917463017497,1.30552505910497,1970-01-01 00:00:00.000001963
Jurong Secondary School,103.723952961648,1.33002032220942,1970-01-01 00:00:00.000001963
St. Anthony's Primary School,103.941234868202,1.3347253730189,1970-01-01 00:00:00.000001879
Boon Lay Garden Primary School,103.712858381937,1.34284013791617,1970-01-01 00:00:00.000001965
Whitley Secondary School,103.842552378136,1.35505208480649,1970-01-01 00:00:00.000001965
Grace Orchard School,103.765172570094,1.30614231746011,1970-01-01 00:00:00.000002006
Chung Cheng High School (Yishun),103.837390782849,1.41922603586175,1970-01-01 00:00:00.000002000
Regent Secondary School,103.751034411529,1.39327908335682,1970-01-01 00:00:00.000002000
ITE College West (Clementi),103.955050784776,1.3343869142524,1970-01-01 00:00:00.000002010
Greendale Primary School,103.91233462071,1.39648195114256,1970-01-01 00:00:00.000001994
Damai Secondary School,103.927091653438,1.33692798510393,1970-01-01 00:00:00.000001927
Madrasah Aljunied Al-Islamiah,103.857696995671,1.30462600327838,1970-01-01 00:00:00.000001964
Commonwealth Secondary School,103.745637393049,1.31920395934801,1970-01-01 00:00:00.000001892
Holy Innocents' High School,103.896398814264,1.37154508822261,1970-01-01 00:00:00.000001892
Singapore School for the Deaf,103.879831061604,1.3078216292075,1970-01-01 00:00:00.000001955
Kranji Secondary School,103.741190664845,1.39005109871311,1970-01-01 00:00:00.000001977
Boon Lay Secondary School,103.701891453912,1.34272216334333,1970-01-01 00:00:00.000001977
Unity Secondary School,103.74602091483,1.40001524119441,1970-01-01 00:00:00.000002001
School Information System,103.849551540547,1.29737732421801,1970-01-01 00:00:00.000002008
School of the Arts,103.848687419363,1.29936480411316,1970-01-01 00:00:00.000002008
