School Name,Longitude,Latitude,year
Hollandse School,103.7899156,1.345741202,1920
Clementi Primary School,103.7631445,1.315063218,2001
Kuo Chuan Presbyterian Primary School,103.8550182,1.349398137,2011
Edgefield Secondary School,103.9026874,1.4005931,1980
Bedok South Secondary School,103.9509891,1.325136552,1980
Meridian Primary School,103.9348891,1.375528317,1938
CHIJ St. Joseph's Convent,103.902465,1.391752223,1938
Chua Chu Kang Primary School,103.7418329,1.377758901,1959
Serangoon Garden Secondary School,103.8692703,1.369325705,1959
Si Ling Primary School,103.7860351,1.432409357,1980
Hong Wen School,103.8576285,1.32176,1920
Ministry of Education Language Centre,103.8522985,1.35350885,1966
Teck Whye Secondary School,103.7518783,1.383190293,1917
Nan Hua High School,103.7685614,1.308095295,1886
Anglo-Chinese School (Independent),103.7803634,1.303704093,1968
Bukit Merah Secondary School,103.8134389,1.285692831,1968
Temasek Polytechnic,103.9323543,1.343429662,1990
Zhangde Primary School,103.8259519,1.284211533,1942
First Toa Payoh Primary School,103.8555299,1.340322995,2002
Yio Chu Kang Primary School,103.8856437,1.377932643,1982
Bowen Secondary School,103.8776596,1.370359944,1982
Cedar Primary School,103.875621,1.335588501,1987
Xinmin Secondary School,103.8830516,1.372558847,1969
National Junior College,103.8041109,1.330292911,1969
Raffles Girls' Primary School,103.8064429,1.32940426,1844
Sembawang Primary School,103.8210424,1.445073716,1999
"	Anderson Junior College",,,1984
Anglo-Chinese School (Independent),,,2004
"	Anglo-Chinese Junior College",,,1977
Catholic Junior College,,,1975
Dunman High School,,,2005
Innova Junior College,,,2005
Jurong Junior College,,,1981
"	Meridian Junior College",,,2003
Millennia Institute,,,2004
Nanyang Junior College,,,1978
NUS High School of Mathematics and Science,,,2005
Pioneer Junior College,,,1999
Raffles Junior College,,,1982
River Valley High School,,,1956
Serangoon Junior College,,,1988
Saint Andrew's Junior College,,,1978
Tampines Junior College,,,1986
Temasek Junior College,,,1977
Yishun Junior College,,,1986
