Station Code,Station Name,Longitude,Latitude,Opening Date,Station Type
PTC | NE17,PUNGGOL,103.902411911915,1.40519470149606,2005-01-29,LRT
PW3,PUNGGOL POINT,103.906650789313,1.41684852031206,2016-12-29,LRT
EW19,QUEENSTOWN,103.806077155982,1.29455085184931,1988-03-12,MRT
NS26 | EW14,RAFFLES PLACE,103.851463066756,1.28393326207164,1987-12-12,MRT
SE5,RANGGUNG,103.897194667804,1.38423355918277,2003-01-18,LRT
EW18,REDHILL,103.81674097205,1.28963453412887,1988-03-12,MRT
SW8,RENJONG,103.89062131608,1.38670058991904,2005-01-29,LRT
PE4,RIVIERA,103.916169381157,1.39451978540251,2005-01-29,LRT
DT13,ROCHOR,103.852769428884,1.30385218527656,2015-12-27,MRT
SE2,RUMBIA,103.90597359341,1.39146849534132,2003-01-18,LRT
PW1,SAM KEE,103.904831550608,1.40961268528804,2016-02-29,LRT
PW4,SAMUDERA,103.902156317163,1.41590172160383,2017-03-31,LRT
BP11,SEGAR,103.769599685249,1.38778508663361,1999-11-06,LRT
NS11,SEMBAWANG,103.820046140211,1.44905082158502,1996-02-10,MRT
NE16 | STC,SENGKANG,103.895484694279,1.39169462601522,2003-06-20,MRT
STC | NE16,SENGKANG,103.895442583336,1.39160936379906,2003-01-18,LRT
BP13,SENJA,103.76234425472,1.38272547134453,1999-11-06,LRT
NE12 | CC13,SERANGOON,103.872771660431,1.35063361526525,2003-06-20,MRT
TE19,SHENTON WAY,103.850367596067,1.2777168283425,2022-11-13,MRT
EW3,SIMEI,103.953377214378,1.34319707851829,1989-12-16,MRT
DT7,SIXTH AVENUE,103.796906838288,1.33085764536226,2015-12-27,MRT
NS23,SOMERSET,103.839085753124,1.30026416739006,1987-12-12,MRT
PW7,SOO TECK,103.897290522033,1.40532331860455,2014-06-29,LRT
BP2,SOUTH VIEW,103.745291799824,1.38029828742399,1999-11-06,LRT
TE4,SPRINGLEAF,103.817856949947,1.39758106126824,2021-08-28,MRT
CC6,STADIUM,103.875337711089,1.3028124684707,2010-04-17,MRT
DT10 | TE11,STEVENS,103.826024401924,1.32006555750626,2015-12-27,MRT
PW6,SUMANG,103.898558450395,1.40845241943079,2014-06-29,LRT
CC11,TAI SENG,103.888336109832,1.33514564170352,2010-04-17,MRT
EW2 | DT32,TAMPINES,103.938436971222,1.34551530560119,1989-12-16,MRT
DT33,TAMPINES EAST,103.9546344625,1.35619148271544,2017-10-21,MRT
DT31,TAMPINES WEST,103.938492495285,1.3456336579777,2017-10-21,MRT
DT8,TAN KAH KEE,103.806548201692,1.32639224146351,2015-12-27,MRT
EW4 | CG,TANAH MERAH,103.946451703007,1.32731098211445,1989-11-04,MRT
EW15,TANJONG PAGAR,103.846006679025,1.27656829207824,1987-12-12,MRT
BP4,TECK WHYE,103.753712232337,1.37668467920808,1999-11-06,LRT
DT18,TELOK AYER,103.848648781083,1.28206894769394,2013-12-22,MRT
CC28,TELOK BLANGAH,103.809761611219,1.27070647772509,2011-10-08,MRT
SW4,THANGGAM,103.875635154729,1.39731815581938,2005-01-29,LRT
EW17,TIONG BAHRU,103.827445112691,1.28610253588403,1988-03-12,MRT
NS19,TOA PAYOH,103.847577286075,1.33259672794159,1987-11-07,MRT
SW7,TONGKANG,103.885844150116,1.38934794658941,2005-01-29,LRT
EW31,TUAS CRESCENT,103.649078235627,1.32102695598684,2017-06-18,MRT
EW33,TUAS LINK,103.636991425128,1.34088242451105,2017-06-18,MRT
EW32,TUAS WEST ROAD,103.639616648771,1.32998504653102,2017-06-18,MRT
DT27,UBI,103.899226655439,1.32997425973974,2017-10-21,MRT
DT34,UPPER CHANGI,103.961472788634,1.34173977444995,2017-10-21,MRT
TE8,UPPER THOMSON,103.832898468504,1.35441643365401,2021-08-28,MRT
NS9 | TE2,WOODLANDS,103.787938777173,1.43605761708128,1996-02-10,MRT
TE1,WOODLANDS NORTH,103.7851355073,1.44778217342648,2020-01-31,MRT
TE3,WOODLANDS SOUTH,103.792729941333,1.42748811362716,2020-01-31,MRT
NE11,WOODLEIGH,103.87081830915,1.33919004519388,2011-06-20,MRT
NS5,YEW TEE,103.74735767326,1.39729771118639,1996-02-10,MRT
NS15,YIO CHU KANG,103.845170704861,1.38149882492597,1987-11-07,MRT
NS13,YISHUN,103.835005047246,1.42944308477331,1988-12-20,MRT
